order_id,product_name,category,quantity,unit_price,discount_percent,region,sale_date,customer_email,revenue
A1941,washing machine,Electrnics,abc,15133.01,0.31,North,03-06-2023,,0.0
A1227,laptop,fashion wear,0,33932.42,0.18,South,06-Jan-2023,,0.0
A1048,Smartphone,electronics,0,49343.18,0.94,South,2023/06/10,a@example.com,0.0
A1501,Smartphone,fashion,-1,35166.69,0.67,nort,17/05/2023,,0.0
A1382,laptop,home appliance,0,4993.22,0.34,south,2023.04.02,,0.0
A1031,Smart Phone,electronics,2,3306.89,0.06,nort,2023-06-02,,6216.95
A1459,WashingMachine,HomeAppliance,5,35909.23,1.18,CENTRAL,15-Feb-2023,b@example.com,0.0
A1055,Shoes,fashion wear,5,44289.9,1.4,South,2023.01.13,,0.0
A1728,Laptop,fashion wear,abc,11534.75,1.49,North,2023-01-07,,0.0
A1065,washing machine,fashion,0,16795.01,0.45,CENTRAL,23/02/2023,b@example.com,0.0
A1326,washing machine,fashion,0,27688.37,1.43,North,2023-03-29,a@example.com,0.0
A1628,Shoes,electronics,2,45560.32,0.23,South,2023.06.06,,70162.89
A1513,Smartphone,Electrnics,3,27478.58,0.5,South,2023-02-21,,41217.87
A1393,Smartphone,electronics,0,46783.01,1.24,South,01/04/2023,,0.0
A1175,Smartphone,Electrnics,1,4008.45,1.39,nort,14/06/2023,,0.0
A1462,Smart Phone,fashion,abc,18483.02,0.82,North,25/06/2023,a@example.com,0.0
A1706,shoess,home appliance,0,5665.52,1.36,South,07/05/2023,,0.0
A1690,washing machine,electronics,-1,37913.03,0.36,nort,,,0.0
A1599,Laptop,electronics,5,27100.81,1.02,South,11/04/2023,,0.0
A1194,Smartphone,home appliance,-1,43394.75,0.67,North,2023.03.04,,0.0
A1160,Smartphone,Electrnics,-1,37199.21,0.17,south,2023-06-05,,0.0
A1721,Shoes,electronics,-1,39473.96,0.21,CENTRAL,2023-03-19,a@example.com,0.0
A1407,washing machine,electronics,2,3956.55,1.05,Central,15/06/2023,,0.0
A1758,shoess,fashion,0,32363.73,0.94,North,06-May-2023,,0.0
